"","tsGroup","year"
"1","G10008-A",7
"2","G10018-A",5
"3","G10023-A",5
"4","G10032-A",7
"5","G10039-A",13
"6","G10049-A",7
"7","G10055-A",12
"8","G10056-A",12
"9","G10057-A",12
"10","G10068-A",5
"11","G10072-A",10
"12","G1008-A",21
"13","G10081-A",11
"14","G10084-A",5
"15","G10085-A",6
"16","G10087-A",6
"17","G10092-A",17
"18","G10093-A",17
"19","G10094-A",17
"20","G10106-A",10
"21","G10109-A",20
"22","G10109-B",7
"23","G10119-A",20
"24","G10120-A",19
"25","G10120-B",14
"26","G10125-A",9
"27","G10130-A",15
"28","G10130-B",5
"29","G10130-C",5
"30","G10135-A",5
"31","G10135-B",5
"32","G10135-C",6
"33","G10137-A",11
"34","G10139-A",12
"35","G10142-A",5
"36","G10143-A",5
"37","G10144-A",11
"38","G10146-A",5
"39","G10150-A",11
"40","G10151-A",5
"41","G10151-B",5
"42","G10152-A",11
"43","G10153-A",7
"44","G10153-B",5
"45","G10154-A",7
"46","G10154-B",5
"47","G10156-A",6
"48","G10159-A",11
"49","G10160-A",11
"50","G10162-A",13
"51","G10164-A",9
"52","G10164-B",5
"53","G10164-C",7
"54","G10167-A",9
"55","G10168-A",13
"56","G10170-A",9
"57","G10170-B",9
"58","G10172-A",7
"59","G10172-B",5
"60","G10173-A",27
"61","G10179-A",15
"62","G10179-B",5
"63","G10181-A",18
"64","G10181-B",6
"65","G10184-A",10
"66","G10186-A",10
"67","G10186-B",9
"68","G10191-A",30
"69","G10197-A",10
"70","G10198-A",7
"71","G10200-A",8
"72","G10200-B",7
"73","G10200-C",6
"74","G10203-A",5
"75","G10204-A",7
"76","G10205-A",7
"77","G10207-A",11
"78","G10215-A",12
"79","G10217-A",12
"80","G10218-A",12
"81","G10221-A",11
"82","G10222-A",18
"83","G10224-A",12
"84","G10225-A",9
"85","G10232-A",12
"86","G10233-A",7
"87","G10233-B",7
"88","G10241-A",6
"89","G10244-A",8
"90","G10245-A",7
"91","G10247-A",12
"92","G10250-A",11
"93","G10250-B",13
"94","G10251-A",9
"95","G10255-A",7
"96","G10258-A",26
"97","G10259-A",5
"98","G10259-B",20
"99","G10260-A",6
"100","G10261-A",20
"101","G10262-A",20
"102","G10262-B",7
"103","G10264-A",18
"104","G10265-A",10
"105","G10266-A",19
"106","G10267-A",5
"107","G10267-B",20
"108","G10269-A",18
"109","G10269-B",9
"110","G10272-A",16
"111","G10275-A",23
"112","G10276-A",19
"113","G10277-A",17
"114","G10277-B",8
"115","G10278-A",5
"116","G10282-A",5
"117","G10282-B",20
"118","G10283-A",6
"119","G10284-A",5
"120","G10284-B",9
"121","G10285-A",6
"122","G10285-B",13
"123","G10286-A",12
"124","G10288-A",5
"125","G10291-A",26
"126","G10292-A",23
"127","G10293-A",15
"128","G10295-A",6
"129","G10297-A",23
"130","G10300-A",5
"131","G10300-B",6
"132","G10302-A",5
"133","G10305-A",7
"134","G10307-A",26
"135","G10308-A",22
"136","G10309-A",6
"137","G10310-A",6
"138","G10310-B",13
"139","G10311-A",5
"140","G10311-B",11
"141","G10311-C",5
"142","G10313-A",8
"143","G10313-B",10
"144","G10314-A",7
"145","G10319-A",5
"146","G10319-B",5
"147","G10319-C",7
"148","G10329-A",18
"149","G10329-B",7
"150","G10330-A",10
"151","G10330-B",6
"152","G10334-A",16
"153","G10334-B",9
"154","G10335-A",7
"155","G10335-B",14
"156","G10337-A",10
"157","G10337-B",10
"158","G10339-A",7
"159","G10342-A",15
"160","G10342-B",10
"161","G10343-A",15
"162","G10345-A",28
"163","G10347-A",23
"164","G10349-A",5
"165","G10350-A",10
"166","G10350-B",17
"167","G10352-A",30
"168","G10353-A",29
"169","G10354-A",10
"170","G10357-A",7
"171","G10358-A",23
"172","G10359-A",18
"173","G10359-B",8
"174","G10362-A",26
"175","G10363-A",16
"176","G10363-B",10
"177","G10365-A",14
"178","G10367-A",26
"179","G10373-A",5
"180","G10373-B",7
"181","G10375-A",11
"182","G10375-B",6
"183","G10375-C",7
"184","G10376-A",5
"185","G10379-A",6
"186","G10380-A",5
"187","G10380-B",11
"188","G10380-C",8
"189","G10381-A",7
"190","G10384-A",20
"191","G10386-A",5
"192","G10388-A",6
"193","G10392-A",5
"194","G10394-A",5
"195","G10394-B",20
"196","G10395-A",9
