"TimeSeriesID","Year","Quarter","Species","Abundance","UnitAbundance","Latitude","Longitude","Country"
"G404",1996,"4","Salmo trutta",26.505,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",1998,"4","Salmo trutta",7.062,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",1994,"4","Salmo trutta",42.834,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",2009,"4","Salmo trutta",11.688,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",1987,"4","Salmo trutta",28.815,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",2002,"4","Salmo trutta",29.327,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",2005,"4","Salmo trutta",23.923,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",2006,"4","Salmo trutta",9.825,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",1997,"4","Salmo trutta",11.683,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",2015,"4","Salmo trutta",1.026,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",2008,"4","Salmo trutta",5.051,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",1985,"4","Salmo trutta",24.521,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",1992,"4","Salmo trutta",35.22,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",2016,"4","Salmo trutta",6.366,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",1989,"4","Salmo trutta",47.114,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",1988,"4","Salmo trutta",55.821,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",1990,"4","Salmo trutta",34.979,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",1993,"4","Salmo trutta",20.951,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",2007,"4","Salmo trutta",9.382,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",1986,"4","Salmo trutta",19.334,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",1999,"4","Salmo trutta",18.555,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",2010,"4","Salmo trutta",5.682,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",2000,"4","Salmo trutta",22.951,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",2001,"4","Salmo trutta",22.718,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",1991,"4","Salmo trutta",28.28,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",2011,"4","Salmo trutta",2.083,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",2012,"4","Salmo trutta",3.571,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",1984,"4","Salmo trutta",19.778,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",1995,"4","Salmo trutta",21.111,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",2004,"4","Salmo trutta",6.015,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",2003,"4","Salmo trutta",9.441,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",2017,"4","Salmo trutta",3.509,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",1987,"2","Salmo trutta",7.26,"Ind.100m2",61.71629,25.13336,"FIN"
"G404",1986,"2","Salmo trutta",11.758,"Ind.100m2",61.71629,25.13336,"FIN"
"G2961",2003,"1","Salmo trutta",0.136,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",2005,"1","Salmo trutta",1.167,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",2008,"1","Salmo trutta",0.729,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",2006,"4","Salmo trutta",0.521,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",2001,"4","Salmo trutta",1.266,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",2011,"1","Salmo trutta",0.661,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",2018,"1","Salmo trutta",1.741,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",2002,"2","Salmo trutta",1.185,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",2013,"2","Salmo trutta",4.8,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",2009,"2","Salmo trutta",1.364,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",2014,"3","Salmo trutta",3.384,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",2015,"3","Salmo trutta",2.235,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",2017,"3","Salmo trutta",1.587,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",2004,"3","Salmo trutta",1.852,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",1993,"3","Salmo trutta",0.833,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",2012,"3","Salmo trutta",1.1,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",2016,"3","Salmo trutta",0.735,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",1998,"4","Salmo trutta",2.857,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",2007,"4","Salmo trutta",0.466,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G2961",2010,"4","Salmo trutta",1.2,"Ind.100m2",53.96543,-2.439225251,"GBR"
"G8637",1997,"2","Salmo trutta",26,"Count",44.26627,6.275183589,"FRA"
"G8647",2007,"2","Salmo trutta",158,"Count",43.24452,6.000062518,"FRA"
"G8647",1988,"2","Salmo trutta",63,"Count",43.24452,6.000062518,"FRA"
"G8647",2011,"2","Salmo trutta",123,"Count",43.24452,6.000062518,"FRA"
"G8647",2009,"2","Salmo trutta",74,"Count",43.24452,6.000062518,"FRA"
"G8647",2013,"2","Salmo trutta",273,"Count",43.24452,6.000062518,"FRA"
"G7358",2014,"3","Salmo trutta",99,"Count",48.69012,-0.744099437,"FRA"
"G8647",2006,"2","Salmo trutta",180,"Count",43.24452,6.000062518,"FRA"
"G7343",2013,"3","Salmo trutta",101,"Count",49.61343,-1.40407644,"FRA"
"G8637",1998,"2","Salmo trutta",79,"Count",44.26627,6.275183589,"FRA"
"G8637",2011,"2","Salmo trutta",126,"Count",44.26627,6.275183589,"FRA"
"G8637",2013,"2","Salmo trutta",32,"Count",44.26627,6.275183589,"FRA"
"G7343",2011,"2","Salmo trutta",168,"Count",49.61343,-1.40407644,"FRA"
"G8647",2012,"2","Salmo trutta",364,"Count",43.24452,6.000062518,"FRA"
"G7358",2013,"4","Salmo trutta",68,"Count",48.69012,-0.744099437,"FRA"
"G8647",2008,"2","Salmo trutta",135,"Count",43.24452,6.000062518,"FRA"
"G8637",2009,"3","Salmo trutta",92,"Count",44.26627,6.275183589,"FRA"
"G8637",1989,"3","Salmo trutta",187,"Count",44.26627,6.275183589,"FRA"
"G8637",2008,"3","Salmo trutta",130,"Count",44.26627,6.275183589,"FRA"
"G8647",1990,"3","Salmo trutta",297,"Count",43.24452,6.000062518,"FRA"
"G8637",1996,"3","Salmo trutta",51,"Count",44.26627,6.275183589,"FRA"
"G8647",1996,"3","Salmo trutta",165,"Count",43.24452,6.000062518,"FRA"
"G8647",1997,"3","Salmo trutta",98,"Count",43.24452,6.000062518,"FRA"
"G8637",2007,"3","Salmo trutta",148,"Count",44.26627,6.275183589,"FRA"
"G8647",2003,"3","Salmo trutta",279,"Count",43.24452,6.000062518,"FRA"
"G7343",2014,"4","Salmo trutta",86,"Count",49.61343,-1.40407644,"FRA"
"G8647",1995,"3","Salmo trutta",344,"Count",43.24452,6.000062518,"FRA"
"G8647",1994,"3","Salmo trutta",64,"Count",43.24452,6.000062518,"FRA"
"G8647",2004,"3","Salmo trutta",361,"Count",43.24452,6.000062518,"FRA"
"G8647",2005,"3","Salmo trutta",553,"Count",43.24452,6.000062518,"FRA"
"G8647",2002,"3","Salmo trutta",308,"Count",43.24452,6.000062518,"FRA"
"G8637",2000,"3","Salmo trutta",81,"Count",44.26627,6.275183589,"FRA"
"G8637",2012,"3","Salmo trutta",79,"Count",44.26627,6.275183589,"FRA"
"G8637",1999,"3","Salmo trutta",130,"Count",44.26627,6.275183589,"FRA"
"G7343",2009,"3","Salmo trutta",94,"Count",49.61343,-1.40407644,"FRA"
"G8637",2010,"3","Salmo trutta",79,"Count",44.26627,6.275183589,"FRA"
"G8647",1993,"3","Salmo trutta",108,"Count",43.24452,6.000062518,"FRA"
"G8647",1998,"3","Salmo trutta",324,"Count",43.24452,6.000062518,"FRA"
"G8647",1999,"3","Salmo trutta",374,"Count",43.24452,6.000062518,"FRA"
"G8637",2003,"3","Salmo trutta",358,"Count",44.26627,6.275183589,"FRA"
