ABUNDANCE,BIOMAS,GENUS_SPECIES,SAMPLE_DESC,PLOT,LATITUDE,LONGITUDE,DAY,MONTH,YEAR
0,0,"Ambystoma opacum",1979,,32.260000,-81.630000,1,1,1979
3,0,"Ambystoma opacum",1980,,32.260000,-81.630000,1,1,1980
16,0,"Ambystoma opacum",1981,,32.260000,-81.630000,1,1,1981
22,0,"Ambystoma opacum",1982,,32.260000,-81.630000,1,1,1982
85,0,"Ambystoma opacum",1983,,32.260000,-81.630000,1,1,1983
277,0,"Ambystoma opacum",1984,,32.260000,-81.630000,1,1,1984
187,0,"Ambystoma opacum",1985,,32.260000,-81.630000,1,1,1985
1022,0,"Ambystoma opacum",1986,,32.260000,-81.630000,1,1,1986
895,0,"Ambystoma opacum",1987,,32.260000,-81.630000,1,1,1987
953,0,"Ambystoma opacum",1988,,32.260000,-81.630000,1,1,1988
1234,0,"Ambystoma opacum",1989,,32.260000,-81.630000,1,1,1989
1200,0,"Ambystoma opacum",1990,,32.260000,-81.630000,1,1,1990
609,0,"Ambystoma opacum",1991,,32.260000,-81.630000,1,1,1991
51,0,"Ambystoma opacum",1992,,32.260000,-81.630000,1,1,1992
765,0,"Ambystoma opacum",1993,,32.260000,-81.630000,1,1,1993
1269,0,"Ambystoma opacum",1994,,32.260000,-81.630000,1,1,1994
1077,0,"Ambystoma opacum",1995,,32.260000,-81.630000,1,1,1995
2193,0,"Ambystoma opacum",1996,,32.260000,-81.630000,1,1,1996
2447,0,"Ambystoma opacum",1997,,32.260000,-81.630000,1,1,1997
2221,0,"Ambystoma opacum",1998,,32.260000,-81.630000,1,1,1998
1433,0,"Ambystoma opacum",1999,,32.260000,-81.630000,1,1,1999
2527,0,"Ambystoma opacum",2000,,32.260000,-81.630000,1,1,2000
2633,0,"Ambystoma opacum",2001,,32.260000,-81.630000,1,1,2001
2217,0,"Ambystoma opacum",2002,,32.260000,-81.630000,1,1,2002
1586,0,"Ambystoma opacum",2003,,32.260000,-81.630000,1,1,2003
189,0,"Ambystoma opacum",2004,,32.260000,-81.630000,1,1,2004
2669,0,"Ambystoma opacum",2005,,32.260000,-81.630000,1,1,2005
1401,0,"Ambystoma opacum",2006,,32.260000,-81.630000,1,1,2006
3788,0,"Ambystoma opacum",2007,,32.260000,-81.630000,1,1,2007
2174,0,"Ambystoma opacum",2008,,32.260000,-81.630000,1,1,2008
270,0,"Ambystoma talpoideum",1979,,32.260000,-81.630000,1,1,1979
2053,0,"Ambystoma talpoideum",1980,,32.260000,-81.630000,1,1,1980
349,0,"Ambystoma talpoideum",1981,,32.260000,-81.630000,1,1,1981
918,0,"Ambystoma talpoideum",1982,,32.260000,-81.630000,1,1,1982
2068,0,"Ambystoma talpoideum",1983,,32.260000,-81.630000,1,1,1983
2597,0,"Ambystoma talpoideum",1984,,32.260000,-81.630000,1,1,1984
560,0,"Ambystoma talpoideum",1985,,32.260000,-81.630000,1,1,1985
5399,0,"Ambystoma talpoideum",1986,,32.260000,-81.630000,1,1,1986
1981,0,"Ambystoma talpoideum",1987,,32.260000,-81.630000,1,1,1987
359,0,"Ambystoma talpoideum",1988,,32.260000,-81.630000,1,1,1988
461,0,"Ambystoma talpoideum",1989,,32.260000,-81.630000,1,1,1989
1238,0,"Ambystoma talpoideum",1990,,32.260000,-81.630000,1,1,1990
336,0,"Ambystoma talpoideum",1991,,32.260000,-81.630000,1,1,1991
906,0,"Ambystoma talpoideum",1992,,32.260000,-81.630000,1,1,1992
3317,0,"Ambystoma talpoideum",1993,,32.260000,-81.630000,1,1,1993
895,0,"Ambystoma talpoideum",1994,,32.260000,-81.630000,1,1,1994
2701,0,"Ambystoma talpoideum",1995,,32.260000,-81.630000,1,1,1995
691,0,"Ambystoma talpoideum",1996,,32.260000,-81.630000,1,1,1996
341,0,"Ambystoma talpoideum",1997,,32.260000,-81.630000,1,1,1997
443,0,"Ambystoma talpoideum",1998,,32.260000,-81.630000,1,1,1998
273,0,"Ambystoma talpoideum",1999,,32.260000,-81.630000,1,1,1999
500,0,"Ambystoma talpoideum",2000,,32.260000,-81.630000,1,1,2000
531,0,"Ambystoma talpoideum",2001,,32.260000,-81.630000,1,1,2001
22,0,"Ambystoma talpoideum",2002,,32.260000,-81.630000,1,1,2002
583,0,"Ambystoma talpoideum",2003,,32.260000,-81.630000,1,1,2003
204,0,"Ambystoma talpoideum",2004,,32.260000,-81.630000,1,1,2004
167,0,"Ambystoma talpoideum",2005,,32.260000,-81.630000,1,1,2005
260,0,"Ambystoma talpoideum",2006,,32.260000,-81.630000,1,1,2006
79,0,"Ambystoma talpoideum",2007,,32.260000,-81.630000,1,1,2007
61,0,"Ambystoma talpoideum",2008,,32.260000,-81.630000,1,1,2008
89,0,"Ambystoma tigrinum",1979,,32.260000,-81.630000,1,1,1979
86,0,"Ambystoma tigrinum",1980,,32.260000,-81.630000,1,1,1980
28,0,"Ambystoma tigrinum",1981,,32.260000,-81.630000,1,1,1981
122,0,"Ambystoma tigrinum",1982,,32.260000,-81.630000,1,1,1982
302,0,"Ambystoma tigrinum",1983,,32.260000,-81.630000,1,1,1983
154,0,"Ambystoma tigrinum",1984,,32.260000,-81.630000,1,1,1984
67,0,"Ambystoma tigrinum",1985,,32.260000,-81.630000,1,1,1985
87,0,"Ambystoma tigrinum",1986,,32.260000,-81.630000,1,1,1986
26,0,"Ambystoma tigrinum",1987,,32.260000,-81.630000,1,1,1987
4,0,"Ambystoma tigrinum",1988,,32.260000,-81.630000,1,1,1988
0,0,"Ambystoma tigrinum",1989,,32.260000,-81.630000,1,1,1989
20,0,"Ambystoma tigrinum",1990,,32.260000,-81.630000,1,1,1990
9,0,"Ambystoma tigrinum",1991,,32.260000,-81.630000,1,1,1991
25,0,"Ambystoma tigrinum",1992,,32.260000,-81.630000,1,1,1992
49,0,"Ambystoma tigrinum",1993,,32.260000,-81.630000,1,1,1993
12,0,"Ambystoma tigrinum",1994,,32.260000,-81.630000,1,1,1994
15,0,"Ambystoma tigrinum",1995,,32.260000,-81.630000,1,1,1995
4,0,"Ambystoma tigrinum",1996,,32.260000,-81.630000,1,1,1996
3,0,"Ambystoma tigrinum",1997,,32.260000,-81.630000,1,1,1997
5,0,"Ambystoma tigrinum",1998,,32.260000,-81.630000,1,1,1998
0,0,"Ambystoma tigrinum",1999,,32.260000,-81.630000,1,1,1999
0,0,"Ambystoma tigrinum",2000,,32.260000,-81.630000,1,1,2000
0,0,"Ambystoma tigrinum",2001,,32.260000,-81.630000,1,1,2001
0,0,"Ambystoma tigrinum",2002,,32.260000,-81.630000,1,1,2002
0,0,"Ambystoma tigrinum",2002,,32.260000,-81.630000,1,1,2002
0,0,"Ambystoma tigrinum",2003,,32.260000,-81.630000,1,1,2003
1,0,"Ambystoma tigrinum",2004,,32.260000,-81.630000,1,1,2004
0,0,"Ambystoma tigrinum",2005,,32.260000,-81.630000,1,1,2005
0,0,"Ambystoma tigrinum",2006,,32.260000,-81.630000,1,1,2006
0,0,"Ambystoma tigrinum",2007,,32.260000,-81.630000,1,1,2007
0,0,"Ambystoma tigrinum",2008,,32.260000,-81.630000,1,1,2008
370,0,"Anaxyrus sp",1979,,32.260000,-81.630000,1,1,1979
41,0,"Anaxyrus sp",1980,,32.260000,-81.630000,1,1,1980
137,0,"Anaxyrus sp",1981,,32.260000,-81.630000,1,1,1981
299,0,"Anaxyrus sp",1982,,32.260000,-81.630000,1,1,1982
117,0,"Anaxyrus sp",1983,,32.260000,-81.630000,1,1,1983
37,0,"Anaxyrus sp",1984,,32.260000,-81.630000,1,1,1984
130,0,"Anaxyrus sp",1985,,32.260000,-81.630000,1,1,1985
79,0,"Anaxyrus sp",1986,,32.260000,-81.630000,1,1,1986
287,0,"Anaxyrus sp",1987,,32.260000,-81.630000,1,1,1987
33,0,"Anaxyrus sp",1988,,32.260000,-81.630000,1,1,1988
56,0,"Anaxyrus sp",1989,,32.260000,-81.630000,1,1,1989
41,0,"Anaxyrus sp",1990,,32.260000,-81.630000,1,1,1990
499,0,"Anaxyrus sp",1991,,32.260000,-81.630000,1,1,1991
511,0,"Anaxyrus sp",1992,,32.260000,-81.630000,1,1,1992
423,0,"Anaxyrus sp",1993,,32.260000,-81.630000,1,1,1993
209,0,"Anaxyrus sp",1994,,32.260000,-81.630000,1,1,1994
420,0,"Anaxyrus sp",1995,,32.260000,-81.630000,1,1,1995
286,0,"Anaxyrus sp",1996,,32.260000,-81.630000,1,1,1996
77,0,"Anaxyrus sp",1997,,32.260000,-81.630000,1,1,1997
131,0,"Anaxyrus sp",1998,,32.260000,-81.630000,1,1,1998
16,0,"Anaxyrus sp",1999,,32.260000,-81.630000,1,1,1999
24,0,"Anaxyrus sp",2000,,32.260000,-81.630000,1,1,2000
43,0,"Anaxyrus sp",2001,,32.260000,-81.630000,1,1,2001
22,0,"Anaxyrus sp",2002,,32.260000,-81.630000,1,1,2002
225,0,"Anaxyrus sp",2003,,32.260000,-81.630000,1,1,2003
888,0,"Anaxyrus sp",2004,,32.260000,-81.630000,1,1,2004
488,0,"Anaxyrus sp",2005,,32.260000,-81.630000,1,1,2005
207,0,"Anaxyrus sp",2006,,32.260000,-81.630000,1,1,2006
21,0,"Anaxyrus sp",2007,,32.260000,-81.630000,1,1,2007
